tof,timestamp
476,2025-07-23 09:57:59.397090
478,2025-07-23 09:57:59.459218
478,2025-07-23 09:57:59.521754
478,2025-07-23 09:57:59.583340
481,2025-07-23 09:57:59.645066
476,2025-07-23 09:57:59.707366
471,2025-07-23 09:57:59.768765
477,2025-07-23 09:57:59.831465
474,2025-07-23 09:57:59.893615
472,2025-07-23 09:57:59.955449
471,2025-07-23 09:58:00.017775
469,2025-07-23 09:58:00.081416
470,2025-07-23 09:58:00.143063
468,2025-07-23 09:58:00.205260
470,2025-07-23 09:58:00.266446
474,2025-07-23 09:58:00.328374
476,2025-07-23 09:58:00.391393
475,2025-07-23 09:58:00.453938
475,2025-07-23 09:58:00.516410
476,2025-07-23 09:58:00.577996
478,2025-07-23 09:58:00.641354
470,2025-07-23 09:58:00.702795
465,2025-07-23 09:58:00.763800
472,2025-07-23 09:58:00.826579
470,2025-07-23 09:58:00.886507
470,2025-07-23 09:58:00.948897
467,2025-07-23 09:58:01.012952
465,2025-07-23 09:58:01.075440
468,2025-07-23 09:58:01.136529
472,2025-07-23 09:58:01.198444
470,2025-07-23 09:58:01.259961
468,2025-07-23 09:58:01.321563
463,2025-07-23 09:58:01.384624
463,2025-07-23 09:58:01.446391
461,2025-07-23 09:58:01.507974
463,2025-07-23 09:58:01.571155
465,2025-07-23 09:58:01.633331
461,2025-07-23 09:58:01.695526
461,2025-07-23 09:58:01.759191
460,2025-07-23 09:58:01.821731
463,2025-07-23 09:58:01.883389
460,2025-07-23 09:58:01.945602
460,2025-07-23 09:58:02.007341
460,2025-07-23 09:58:02.070172
462,2025-07-23 09:58:02.132570
466,2025-07-23 09:58:02.194413
462,2025-07-23 09:58:02.255571
460,2025-07-23 09:58:02.317386
462,2025-07-23 09:58:02.379536
462,2025-07-23 09:58:02.440005
462,2025-07-23 09:58:02.501802
