angle,tof,timestamp
0,2566,2025-07-23 10:17:58.684885
0,601,2025-07-23 10:17:58.747407
0,579,2025-07-23 10:17:58.809066
0,574,2025-07-23 10:17:58.871467
0,615,2025-07-23 10:17:58.933057
0,2465,2025-07-23 10:17:58.995582
0,2643,2025-07-23 10:17:59.056998
0,2663,2025-07-23 10:17:59.118484
0,2655,2025-07-23 10:17:59.180365
0,2643,2025-07-23 10:17:59.242518
0,2662,2025-07-23 10:17:59.304977
0,2656,2025-07-23 10:17:59.366367
0,2646,2025-07-23 10:17:59.427929
0,544,2025-07-23 10:17:59.491288
0,525,2025-07-23 10:17:59.554257
0,524,2025-07-23 10:17:59.615268
0,532,2025-07-23 10:17:59.677905
0,760,2025-07-23 10:17:59.740024
0,2654,2025-07-23 10:17:59.801490
0,2652,2025-07-23 10:17:59.863295
0,2660,2025-07-23 10:17:59.923651
0,2655,2025-07-23 10:17:59.986472
0,2632,2025-07-23 10:18:00.048637
0,2165,2025-07-23 10:18:00.110230
0,765,2025-07-23 10:18:00.172476
0,591,2025-07-23 10:18:00.235001
0,596,2025-07-23 10:18:00.295398
0,583,2025-07-23 10:18:00.357738
0,665,2025-07-23 10:18:00.419450
0,2577,2025-07-23 10:18:00.482898
0,2626,2025-07-23 10:18:00.545441
0,2599,2025-07-23 10:18:00.605619
0,2520,2025-07-23 10:18:00.668425
0,2530,2025-07-23 10:18:00.731073
0,2574,2025-07-23 10:18:00.792571
0,2637,2025-07-23 10:18:00.855157
0,2590,2025-07-23 10:18:00.917966
0,594,2025-07-23 10:18:00.980245
0,554,2025-07-23 10:18:01.042096
0,538,2025-07-23 10:18:01.103538
0,533,2025-07-23 10:18:01.166169
0,2643,2025-07-23 10:18:01.228473
0,2643,2025-07-23 10:18:01.290370
0,2655,2025-07-23 10:18:01.353058
0,2655,2025-07-23 10:18:01.415032
0,2653,2025-07-23 10:18:01.477107
0,2636,2025-07-23 10:18:01.540051
0,2237,2025-07-23 10:18:01.602427
0,618,2025-07-23 10:18:01.666010
0,557,2025-07-23 10:18:01.728981
0,558,2025-07-23 10:18:01.791331
0,653,2025-07-23 10:18:01.854062
0,2565,2025-07-23 10:18:01.915541
0,2518,2025-07-23 10:18:01.977062
0,2290,2025-07-23 10:18:02.038771
0,2223,2025-07-23 10:18:02.100082
0,2223,2025-07-23 10:18:02.162319
0,2293,2025-07-23 10:18:02.225023
0,2359,2025-07-23 10:18:02.287472
0,2336,2025-07-23 10:18:02.350083
0,615,2025-07-23 10:18:02.412109
0,524,2025-07-23 10:18:02.474792
0,520,2025-07-23 10:18:02.537346
0,519,2025-07-23 10:18:02.597963
0,2213,2025-07-23 10:18:02.660491
0,2346,2025-07-23 10:18:02.721608
0,2343,2025-07-23 10:18:02.783990
0,2340,2025-07-23 10:18:02.845462
0,2345,2025-07-23 10:18:02.907192
0,2328,2025-07-23 10:18:02.969110
0,2246,2025-07-23 10:18:03.032024
0,788,2025-07-23 10:18:03.094726
0,598,2025-07-23 10:18:03.156532
0,565,2025-07-23 10:18:03.217241
0,576,2025-07-23 10:18:03.280061
0,2059,2025-07-23 10:18:03.342806
0,2112,2025-07-23 10:18:03.404586
0,2008,2025-07-23 10:18:03.466989
0,2074,2025-07-23 10:18:03.529807
0,2126,2025-07-23 10:18:03.591384
0,2206,2025-07-23 10:18:03.654491
0,2149,2025-07-23 10:18:03.716052
0,584,2025-07-23 10:18:03.778354
0,65635,2025-07-23 10:18:03.840262
0,561,2025-07-23 10:18:03.902781
0,555,2025-07-23 10:18:03.964736
0,1058,2025-07-23 10:18:04.028292
0,2131,2025-07-23 10:18:04.090174
0,2180,2025-07-23 10:18:04.151645
0,2167,2025-07-23 10:18:04.213064
0,2147,2025-07-23 10:18:04.274798
0,1847,2025-07-23 10:18:04.336891
0,700,2025-07-23 10:18:04.398333
0,589,2025-07-23 10:18:04.459910
0,565,2025-07-23 10:18:04.522957
0,558,2025-07-23 10:18:04.585026
0,678,2025-07-23 10:18:04.647633
0,2081,2025-07-23 10:18:04.709477
0,2080,2025-07-23 10:18:04.772178
0,2021,2025-07-23 10:18:04.835711
0,2016,2025-07-23 10:18:04.896982
0,2057,2025-07-23 10:18:04.959579
0,2034,2025-07-23 10:18:05.021012
0,567,2025-07-23 10:18:05.082850
0,529,2025-07-23 10:18:05.143967
0,1331,2025-07-23 10:18:05.206537
0,2044,2025-07-23 10:18:05.268687
0,1923,2025-07-23 10:18:05.330784
0,655,2025-07-23 10:18:05.392359
0,573,2025-07-23 10:18:05.453898
0,564,2025-07-23 10:18:05.515931
0,716,2025-07-23 10:18:05.578316
0,1969,2025-07-23 10:18:05.639841
0,1981,2025-07-23 10:18:05.700379
0,2033,2025-07-23 10:18:05.762740
0,2052,2025-07-23 10:18:05.825182
0,539,2025-07-23 10:18:05.887166
0,524,2025-07-23 10:18:05.950201
0,534,2025-07-23 10:18:06.011942
0,1867,2025-07-23 10:18:06.074172
0,2100,2025-07-23 10:18:06.136054
0,2060,2025-07-23 10:18:06.199459
0,730,2025-07-23 10:18:06.260742
0,579,2025-07-23 10:18:06.322925
0,542,2025-07-23 10:18:06.384463
0,2121,2025-07-23 10:18:06.446691
0,2111,2025-07-23 10:18:06.509406
0,2073,2025-07-23 10:18:06.571598
0,2098,2025-07-23 10:18:06.633102
0,2126,2025-07-23 10:18:06.694763
0,626,2025-07-23 10:18:06.758333
0,565,2025-07-23 10:18:06.820048
0,550,2025-07-23 10:18:06.881781
0,550,2025-07-23 10:18:06.943405
0,2074,2025-07-23 10:18:07.006152
0,2106,2025-07-23 10:18:07.068254
0,1923,2025-07-23 10:18:07.129796
0,632,2025-07-23 10:18:07.191595
0,545,2025-07-23 10:18:07.253360
0,572,2025-07-23 10:18:07.315107
0,572,2025-07-23 10:18:07.377626
0,2159,2025-07-23 10:18:07.439320
0,2137,2025-07-23 10:18:07.501994
0,2140,2025-07-23 10:18:07.563150
0,2186,2025-07-23 10:18:07.625502
0,843,2025-07-23 10:18:07.687290
0,521,2025-07-23 10:18:07.750176
0,525,2025-07-23 10:18:07.812255
0,525,2025-07-23 10:18:07.874605
0,2103,2025-07-23 10:18:07.936102
0,2103,2025-07-23 10:18:07.998420
0,2105,2025-07-23 10:18:08.059980
0,1292,2025-07-23 10:18:08.121986
0,583,2025-07-23 10:18:08.183496
0,582,2025-07-23 10:18:08.245563
0,2128,2025-07-23 10:18:08.307787
0,2124,2025-07-23 10:18:08.368546
0,2087,2025-07-23 10:18:08.430721
0,2163,2025-07-23 10:18:08.493358
0,2163,2025-07-23 10:18:08.554999
0,1590,2025-07-23 10:18:08.617168
0,542,2025-07-23 10:18:08.680120
0,539,2025-07-23 10:18:08.742686
0,1137,2025-07-23 10:18:08.804748
0,2155,2025-07-23 10:18:08.866201
0,2168,2025-07-23 10:18:08.927796
0,1656,2025-07-23 10:18:08.990016
0,732,2025-07-23 10:18:09.051641
0,646,2025-07-23 10:18:09.113152
0,587,2025-07-23 10:18:09.174743
0,1966,2025-07-23 10:18:09.236882
0,2093,2025-07-23 10:18:09.300029
0,2043,2025-07-23 10:18:09.361528
0,2107,2025-07-23 10:18:09.423400
0,2130,2025-07-23 10:18:09.485677
0,548,2025-07-23 10:18:09.547335
0,526,2025-07-23 10:18:09.608552
0,526,2025-07-23 10:18:09.671326
